date,ticket_id,assignment_time_min
2026-06-03,INC-4203,36
2026-06-03,INC-4204,16
2026-06-03,INC-4205,55
2026-06-03,INC-4206,34
2026-06-03,INC-4207,25
2026-06-03,INC-4208,19
2026-06-03,INC-4209,26
2026-06-03,INC-4210,39
2026-06-03,INC-4211,45
2026-06-03,INC-4212,69
2026-06-03,INC-4213,30
2026-06-03,INC-4214,47
2026-06-03,INC-4215,46
2026-06-03,INC-4216,38
2026-06-03,INC-4217,30
2026-06-03,INC-4218,34
2026-06-03,INC-4219,34
2026-06-03,INC-4220,35
2026-06-04,INC-4221,55
2026-06-04,INC-4222,33
2026-06-04,INC-4223,47
2026-06-04,INC-4224,28
2026-06-04,INC-4225,36
2026-06-04,INC-4226,26
2026-06-04,INC-4227,53
2026-06-04,INC-4228,13
2026-06-04,INC-4229,41
2026-06-04,INC-4230,62
2026-06-04,INC-4231,52
2026-06-04,INC-4232,39
2026-06-04,INC-4233,22
2026-06-04,INC-4234,90
2026-06-04,INC-4235,49
2026-06-04,INC-4236,21
2026-06-04,INC-4237,34
2026-06-04,INC-4238,31
2026-06-04,INC-4239,53
2026-06-04,INC-4240,37
2026-06-04,INC-4241,35
2026-06-04,INC-4242,75
2026-06-04,INC-4243,41
2026-06-04,INC-4244,60
2026-06-04,INC-4245,31
2026-06-04,INC-4246,52
2026-06-04,INC-4247,41
2026-06-04,INC-4248,42
2026-06-04,INC-4249,26
2026-06-04,INC-4250,109
2026-06-04,INC-4251,20
2026-06-04,INC-4252,66
2026-06-04,INC-4253,30
2026-06-04,INC-4254,22
2026-06-04,INC-4255,23
2026-06-04,INC-4256,40
2026-06-04,INC-4257,25
2026-06-04,INC-4258,73
2026-06-04,INC-4259,32
2026-06-04,INC-4260,38
2026-06-05,INC-4261,31
2026-06-05,INC-4262,27
2026-06-05,INC-4263,22
2026-06-05,INC-4264,54
2026-06-05,INC-4265,38
2026-06-05,INC-4266,35
2026-06-05,INC-4267,69
2026-06-05,INC-4268,38
2026-06-05,INC-4269,48
2026-06-05,INC-4270,44
2026-06-05,INC-4271,49
2026-06-05,INC-4272,55
2026-06-05,INC-4273,33
2026-06-05,INC-4274,22
2026-06-05,INC-4275,32
2026-06-05,INC-4276,32
2026-06-05,INC-4277,15
2026-06-05,INC-4278,90
2026-06-05,INC-4279,105
2026-06-05,INC-4280,51
2026-06-05,INC-4281,41
2026-06-05,INC-4282,27
2026-06-05,INC-4283,68
2026-06-05,INC-4284,28
2026-06-05,INC-4285,49
2026-06-05,INC-4286,22
2026-06-05,INC-4287,39
2026-06-05,INC-4288,16
2026-06-05,INC-4289,23
2026-06-05,INC-4290,55
2026-06-05,INC-4291,14
2026-06-05,INC-4292,30
2026-06-05,INC-4293,55
2026-06-05,INC-4294,37
2026-06-05,INC-4295,25
2026-06-05,INC-4296,27
2026-06-05,INC-4297,50
2026-06-05,INC-4298,64
2026-06-05,INC-4299,46
2026-06-05,INC-4300,24
2026-06-08,INC-4301,38
2026-06-08,INC-4302,53
2026-06-08,INC-4303,40
2026-06-08,INC-4304,37
2026-06-08,INC-4305,53
2026-06-08,INC-4306,25
2026-06-08,INC-4307,30
2026-06-08,INC-4308,17
2026-06-08,INC-4309,26
2026-06-08,INC-4310,43
2026-06-08,INC-4311,40
2026-06-08,INC-4312,56
2026-06-08,INC-4313,92
2026-06-08,INC-4314,35
2026-06-08,INC-4315,43
2026-06-08,INC-4316,55
2026-06-08,INC-4317,40
2026-06-08,INC-4318,31
2026-06-08,INC-4319,26
2026-06-08,INC-4320,44
2026-06-08,INC-4321,80
2026-06-08,INC-4322,92
2026-06-08,INC-4323,26
2026-06-08,INC-4324,55
2026-06-08,INC-4325,46
2026-06-08,INC-4326,30
2026-06-08,INC-4327,17
2026-06-08,INC-4328,32
2026-06-08,INC-4329,72
2026-06-08,INC-4330,16
2026-06-08,INC-4331,144
2026-06-08,INC-4332,39
2026-06-08,INC-4333,18
2026-06-08,INC-4334,65
2026-06-08,INC-4335,29
2026-06-08,INC-4336,33
2026-06-08,INC-4337,116
2026-06-08,INC-4338,20
2026-06-08,INC-4339,25
2026-06-08,INC-4340,69
2026-06-09,INC-4341,123
2026-06-09,INC-4342,21
2026-06-09,INC-4343,81
2026-06-09,INC-4344,143
2026-06-09,INC-4345,34
2026-06-09,INC-4346,68
2026-06-09,INC-4347,63
2026-06-09,INC-4348,49
2026-06-09,INC-4349,111
2026-06-09,INC-4350,66
2026-06-09,INC-4351,24
2026-06-09,INC-4352,72
2026-06-09,INC-4353,70
2026-06-09,INC-4354,122
2026-06-09,INC-4355,78
2026-06-09,INC-4356,78
2026-06-09,INC-4357,78
2026-06-09,INC-4358,68
2026-06-09,INC-4359,74
2026-06-09,INC-4360,64
2026-06-09,INC-4361,35
2026-06-09,INC-4362,46
2026-06-09,INC-4363,43
2026-06-09,INC-4364,37
2026-06-09,INC-4365,68
2026-06-09,INC-4366,31
2026-06-09,INC-4367,30
2026-06-09,INC-4368,36
2026-06-09,INC-4369,128
2026-06-09,INC-4370,62
2026-06-09,INC-4371,45
2026-06-09,INC-4372,65
2026-06-09,INC-4373,49
2026-06-09,INC-4374,49
2026-06-09,INC-4375,47
2026-06-09,INC-4376,63
2026-06-09,INC-4377,14
2026-06-09,INC-4378,58
2026-06-09,INC-4379,164
2026-06-09,INC-4380,108
2026-06-10,INC-4381,48
2026-06-10,INC-4382,53
2026-06-10,INC-4383,99
2026-06-10,INC-4384,56
2026-06-10,INC-4385,28
2026-06-10,INC-4386,135
2026-06-10,INC-4387,65
2026-06-10,INC-4388,67
2026-06-10,INC-4389,91
2026-06-10,INC-4390,36
2026-06-10,INC-4391,87
2026-06-10,INC-4392,67
2026-06-10,INC-4393,32
2026-06-10,INC-4394,34
2026-06-10,INC-4395,41
2026-06-10,INC-4396,169
2026-06-10,INC-4397,61
2026-06-10,INC-4398,112
2026-06-10,INC-4399,172
2026-06-10,INC-4400,32
2026-06-10,INC-4401,66
2026-06-10,INC-4402,58
2026-06-10,INC-4403,113
2026-06-10,INC-4404,33
2026-06-10,INC-4405,95
2026-06-10,INC-4406,66
2026-06-10,INC-4407,39
2026-06-10,INC-4408,79
2026-06-10,INC-4409,55
2026-06-10,INC-4410,43
2026-06-10,INC-4411,41
2026-06-10,INC-4412,25
2026-06-10,INC-4413,152
2026-06-10,INC-4414,61
2026-06-10,INC-4415,79
2026-06-10,INC-4416,67
2026-06-10,INC-4417,20
2026-06-10,INC-4418,141
2026-06-10,INC-4419,92
2026-06-10,INC-4420,172
2026-06-11,INC-4421,66
2026-06-11,INC-4422,21
2026-06-11,INC-4423,56
2026-06-11,INC-4424,49
2026-06-11,INC-4425,39
2026-06-11,INC-4426,39
2026-06-11,INC-4427,101
2026-06-11,INC-4428,43
2026-06-11,INC-4429,89
2026-06-11,INC-4430,91
2026-06-11,INC-4431,91
2026-06-11,INC-4432,31
2026-06-11,INC-4433,114
2026-06-11,INC-4434,85
2026-06-11,INC-4435,83
2026-06-11,INC-4436,44
2026-06-11,INC-4437,73
2026-06-11,INC-4438,46
2026-06-11,INC-4439,78
2026-06-11,INC-4440,39
2026-06-11,INC-4441,40
2026-06-11,INC-4442,163
2026-06-11,INC-4443,60
2026-06-11,INC-4444,71
2026-06-11,INC-4445,63
2026-06-11,INC-4446,24
2026-06-11,INC-4447,87
2026-06-11,INC-4448,46
2026-06-11,INC-4449,147
2026-06-11,INC-4450,111
2026-06-11,INC-4451,66
2026-06-11,INC-4452,156
2026-06-11,INC-4453,36
2026-06-11,INC-4454,107
2026-06-11,INC-4455,49
2026-06-11,INC-4456,33
2026-06-11,INC-4457,68
2026-06-11,INC-4458,23
2026-06-11,INC-4459,55
2026-06-11,INC-4460,66
2026-06-12,INC-4461,64
2026-06-12,INC-4462,60
2026-06-12,INC-4463,53
2026-06-12,INC-4464,64
2026-06-12,INC-4465,49
2026-06-12,INC-4466,74
2026-06-12,INC-4467,30
2026-06-12,INC-4468,79
2026-06-12,INC-4469,49
2026-06-12,INC-4470,118
2026-06-12,INC-4471,137
2026-06-12,INC-4472,56
2026-06-12,INC-4473,96
2026-06-12,INC-4474,50
2026-06-12,INC-4475,78
2026-06-12,INC-4476,75
2026-06-12,INC-4477,56
2026-06-12,INC-4478,73
2026-06-12,INC-4479,78
2026-06-12,INC-4480,105
2026-06-12,INC-4481,70
2026-06-12,INC-4482,56
2026-06-12,INC-4483,42
2026-06-12,INC-4484,140
2026-06-12,INC-4485,124
2026-06-12,INC-4486,38
2026-06-12,INC-4487,57
2026-06-12,INC-4488,87
2026-06-12,INC-4489,27
2026-06-12,INC-4490,38
2026-06-12,INC-4491,147
2026-06-12,INC-4492,86
2026-06-12,INC-4493,112
2026-06-12,INC-4494,127
2026-06-12,INC-4495,19
2026-06-12,INC-4496,65
2026-06-12,INC-4497,129
2026-06-12,INC-4498,97
2026-06-12,INC-4499,123
2026-06-12,INC-4500,65
